feature,modality,feature_group,feature_type,aggregation,analysis_role,class_id,class_name,n_subjects_total,n_nonmissing,missing_subject_fraction,median,q25,q75,iqr,cn_reference_median,median_diff_vs_cn,robust_smd_vs_cn,cliffs_delta_vs_cn,abs_cliffs_delta_vs_cn,max_abs_cliffs_delta_non_cn
activity__activity_average_met__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,0.15625,0.09375,0.1875,0.09375,0.15625,0,0,0,0,0.5111111111
activity__activity_average_met__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,0.15625,0.125,0.1875,0.0625,0.15625,0,0,0.07409261577,0.07409261577,0.5111111111
activity__activity_average_met__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,0.09375,0.0625,0.125,0.0625,0.15625,-0.0625,-1.058242665,-0.5111111111,0.5111111111,0.5111111111
activity__activity_average_met__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,1.46875,1.375,1.5625,0.1875,1.46875,0,0,0,0,0.3790849673
activity__activity_average_met__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,1.46875,1.375,1.5625,0.1875,1.46875,0,0,0.005757196496,0.005757196496,0.3790849673
activity__activity_average_met__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,1.328125,1.3125,1.4375,0.125,1.46875,-0.140625,-1.190522998,-0.3790849673,0.3790849673,0.3790849673
activity__activity_average_met__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_average_met__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_average_met__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_cal_active__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,199,134,276,142,199,0,0,0,0,0.3307189542
activity__activity_cal_active__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,222,162.625,249.25,86.625,199,23,0.2637951208,0.08610763454,0.08610763454,0.3307189542
activity__activity_cal_active__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,131.75,84.5,187,102.5,199,-67.25,-0.7325893118,-0.3307189542,0.3307189542,0.3307189542
activity__activity_cal_active__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,435,324,596,272,435,0,0,0,0,0.2366013072
activity__activity_cal_active__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,458.5,337.5,601.75,264.25,435,23.5,0.118221687,0.0002503128911,0.0002503128911,0.2366013072
activity__activity_cal_active__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,336,214,513,299,435,-99,-0.4672572524,-0.2366013072,0.2366013072,0.2366013072
activity__activity_cal_active__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_cal_active__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_cal_active__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
